CODIGO MUNICIPIO;LATITUDE;LONGITUDE;;;;;CÓDIGO MUNICÍPIO;UF;NOME MUNICIPIO;LAT;LONG
150070;-0.98;-49.93;;;;;150070;PA;Anajás;-0.98;-49.93
150080;-1.36;-48.37;;;;;150080;PA;Ananindeua;-1.36;-48.37
150085;-3.47;-51.19;;;;;150085;PA;Anapu;-3.47;-51.19
150090;-1.02;-46.64;;;;;150090;PA;Augusto Corrêa;-1.02;-46.64
150095;-2.13;-47.56;;;;;150095;PA;Aurora do Pará;-2.13;-47.56
150100;-3.6;-55.33;;;;;150100;PA;Aveiro;-3.6;-55.33
150110;-1.89;-50.16;;;;;150110;PA;Bagre;-1.89;-50.16
150120;-2.79;-49.67;;;;;150120;PA;Baião;-2.79;-49.67
150125;-7.34;-50.39;;;;;150125;PA;Bannach;-7.34;-50.39
150130;-1.5;-48.62;;;;;150130;PA;Barcarena;-1.5;-48.62
150140;-1.45;-48.5;;;;;150140;PA;Belém;-1.45;-48.5
150145;-2.63;-54.93;;;;;150145;PA;Belterra;-2.63;-54.93
150150;-1.36;-48.24;;;;;150150;PA;Benevides;-1.36;-48.24
150157;-5.05;-48.6;;;;;150157;PA;Bom Jesus do Tocantins;-5.05;-48.6
150160;-1.36;-47.3;;;;;150160;PA;Bonito;-1.36;-47.3
150170;-1.06;-46.77;;;;;150170;PA;Bragança;-1.06;-46.77
150172;-3.26;-52.66;;;;;150172;PA;Brasil Novo;-3.26;-52.66
150175;-5.69;-48.41;;;;;150175;PA;Brejo Grande do Araguaia;-5.69;-48.41
150178;-4;-49.46;;;;;150178;PA;Breu Branco;-4;-49.46
150180;-1.68;-50.47;;;;;150180;PA;Breves;-1.68;-50.47
150190;-1.51;-48.04;;;;;150190;PA;Bujaru;-1.51;-48.04
150195;-1.67;-46.52;;;;;150195;PA;Cachoeira do Piriá;-1.67;-46.52
150200;-1.01;-48.96;;;;;150200;PA;Cachoeira do Arari;-1.01;-48.96
150210;-2.24;-49.49;;;;;150210;PA;Cametá;-2.24;-49.49
150215;-6.49;-49.87;;;;;150215;PA;Canaã dos Carajás;-6.49;-49.87
150220;-1.19;-47.18;;;;;150220;PA;Capanema;-1.19;-47.18
150230;-1.74;-47.06;;;;;150230;PA;Capitão Poço;-1.74;-47.06
150240;-1.29;-47.92;;;;;150240;PA;Castanhal;-1.29;-47.92
150250;-0.15;-49.98;;;;;150250;PA;Chaves;-0.15;-49.98
150260;-0.93;-48.28;;;;;150260;PA;Colares;-0.93;-48.28
150270;-8.25;-49.26;;;;;150270;PA;Conceição do Araguaia;-8.25;-49.26
150275;-1.99;-47.94;;;;;150275;PA;Concórdia do Pará;-1.99;-47.94
150276;-7.82;-50.77;;;;;150276;PA;Cumaru do Norte;-7.82;-50.77
150277;-6.09;-49.54;;;;;150277;PA;Curionópolis;-6.09;-49.54
150280;-1.81;-49.79;;;;;150280;PA;Curralinho;-1.81;-49.79
150285;-1.88;-55.11;;;;;150285;PA;Curuá;-1.88;-55.11
150290;-0.73;-47.85;;;;;150290;PA;Curuçá;-0.73;-47.85
150293;-4.28;-47.5;;;;;150293;PA;Dom Eliseu;-4.28;-47.5
150295;-6.1;-49.35;;;;;150295;PA;Eldorado dos Carajás;-6.1;-49.35
150300;-2.17;-56.74;;;;;150300;PA;Faro;-2.17;-56.74
150304;-7.55;-49.71;;;;;150304;PA;Floresta do Araguaia;-7.55;-49.71
150307;-1.93;-47.05;;;;;150307;PA;Garrafão do Norte;-1.93;-47.05
